timestamp,session_id,user_id,persona,module,endpoint,method,status_code,response_time_ms
2026-08-07 20:31:32,S00001,U2824,Guest,Homepage,/homepage,GET,200,34
2026-08-07 20:31:37,S00001,U2824,Guest,Catalog,/products,GET,200,273
2026-08-07 20:31:41,S00001,U2824,Guest,Search,/search,GET,200,366
2026-08-07 20:31:45,S00001,U2824,Guest,Homepage,/exit,GET,200,26
2026-08-07 21:12:30,S00002,U4257,Premium,Authentication,/login,POST,200,187
2026-08-07 21:12:40,S00002,U4257,Premium,Catalog,/products,GET,200,101
2026-08-07 21:12:47,S00002,U4257,Premium,Search,/search,GET,200,366
2026-08-07 21:12:53,S00002,U4257,Premium,Catalog,/product,GET,404,175
2026-08-07 21:13:05,S00002,U4257,Premium,Cart,/cart,POST,200,202
2026-08-07 21:13:10,S00002,U4257,Premium,Checkout,/checkout,POST,200,717
2026-08-07 21:13:20,S00002,U4257,Premium,Payment,/payment,POST,200,1626
2026-08-07 20:49:46,S00003,U9785,Guest,Authentication,/login,POST,200,100
2026-08-07 20:49:59,S00003,U9785,Guest,Catalog,/products,GET,200,247
2026-08-07 20:50:03,S00003,U9785,Guest,Cart,/cart,POST,200,173
2026-08-07 20:50:14,S00003,U9785,Guest,Checkout,/checkout,POST,200,431
2026-08-07 20:50:19,S00003,U9785,Guest,Orders,/cancel-order,POST,200,544
2026-08-07 20:50:32,S00003,U9785,Guest,Authentication,/logout,GET,200,60
2026-08-07 21:26:34,S00004,U5374,Premium,Authentication,/login,POST,200,98
2026-08-07 21:26:41,S00004,U5374,Premium,Orders,/orders,GET,200,305
2026-08-07 21:26:55,S00004,U5374,Premium,Orders,/track-order,GET,500,169
2026-08-07 21:27:04,S00004,U5374,Premium,Authentication,/logout,GET,200,81
2026-08-07 20:52:52,S00005,U4752,Guest,Homepage,/homepage,GET,200,37
2026-08-07 20:53:04,S00005,U4752,Guest,Catalog,/products,GET,200,154
2026-08-07 20:53:18,S00005,U4752,Guest,Search,/search,GET,200,384
2026-08-07 20:53:24,S00005,U4752,Guest,Homepage,/exit,GET,200,27
2026-08-07 20:28:02,S00006,U8019,Premium,Authentication,/login,POST,200,115
2026-08-07 20:28:06,S00006,U8019,Premium,Catalog,/products,GET,200,293
